,index,Course Name,University,Difficulty Level,Course Rating,Course URL,Course Description,Skills
0,0,Write A Feature Length Screenplay For Film Or Television,Michigan State University,Beginner,4.8,https://www.coursera.org/learn/write-a-feature-length-screenplay-for-film-or-television,write full length feature film script course write complete feature length screenplay film television serious drama romantic comedy anything learn break creative process components discover structured process allows produce polished pitch ready script end course completing project increase confidence ideas abilities feel prepared pitch first script get started next course designed tap creativity based active learning actual learning takes place within activities writing learn link trailer course view trailer please copy paste link browser https vimeo com 382067900 b78b800dc0 learner review love approach professor wheeler takes towards course point easy follow informative would definitely recommend anyone interested taking screenplay writing course course curriculum simple adopt professional writers room process write post work peer review share feedback peers revise work feedback receive peers real world feel professional writers room yet prior experience writer required proponent experiential learning active learning lectures short sometimes two minutes long point designed step step process essential success script writer guide show write firmly believe way become writer write write write learner review would like thank course instructor amazing course need get started mentioned prior script writing experience required begin basic word processor week two choose download free scriptwriting software celtx trelby may choose purchase final draft industry standard continue use word processor script formatting learner review writer concerns regarding protection original work coursera privacy policy protects learner ip indeed sole owners work,drama comedy peering screenwriting film document review dialogue creative writing writing unix shells arts humanities music art
1,7,"Programming Languages, Part A",University of Washington,Intermediate,4.9,https://www.coursera.org/learn/programming-languages,course introduction basic concepts programming languages strong emphasis functional programming course uses languages ml racket ruby vehicles teaching concepts real intent teach enough language fits together make effective programming language learning new ones course neither particularly theoretical programming specifics give framework understanding use language constructs effectively design correct elegant programs using different languages learn think deeply terms particular syntax one language emphasis functional programming essential learning write robust reusable composable elegant programs indeed many important ideas modern languages roots functional programming get ready learn fresh beautiful way look software fun building course assumes prior experience programming described detail first module course divided three coursera courses part part b part c explained detail first module part overall course substantial amount challenging material three part format provides two intermediate milestones opportunities pause continuing three parts designed completed order set motivate continue end part c three parts quite equal length part almost substantial part b part c combined week 1 part detailed list topics three parts course expected course participants yet know topics mean,inference ml programming language higher order function functional programming type inference pattern matching euler totient function language recursive function computer programming computer science software development
2,43,Introduction to Cybersecurity Tools & Cyber Attacks,IBM,Beginner,4.3,https://www.coursera.org/learn/introduction-cybersecurity-cyber-attacks,course gives background needed understand basic cybersecurity learn history cybersecurity types motives cyber attacks knowledge current threats organizations individuals key terminology basic system concepts tools examined introduction cybersecurity field learn critical thinking importance anyone looking pursue career cybersecurity finally begin learn organizations resources research cybersecurity issues modern era course intended anyone wants gain basic understanding cybersecurity first course series courses acquire skills work cybersecurity field jr cybersecurity analyst completion course also makes eligible earn introduction cybersecurity tools cyber attacks ibm digital badge information badge found https www youracclaim com org ibm badge introduction cybersecurity tools cyber attacks want see good career fit ibm collaborating myinnergenius one world leading assessment companies help find careers love careers great match regardless education experience even never considered role less hour receive targeted recommendations hot roles excel everything need get started even earn ibm digital badges show world skills find http ibm myinnergenius com,cyber security regulation cyber security standards forensics security digital forensics cybercrime cryptography cyberattacks leadership management penetration test information technology cloud computing
3,44,Introduction to Cybersecurity Tools & Cyber Attacks,IBM,Beginner,4.3,https://www.coursera.org/learn/introduction-cybersecurity-cyber-attacks,course gives background needed understand basic cybersecurity learn history cybersecurity types motives cyber attacks knowledge current threats organizations individuals key terminology basic system concepts tools examined introduction cybersecurity field learn critical thinking importance anyone looking pursue career cybersecurity finally begin learn organizations resources research cybersecurity issues modern era course intended anyone wants gain basic understanding cybersecurity first course series courses acquire skills work cybersecurity field jr cybersecurity analyst completion course also makes eligible earn introduction cybersecurity tools cyber attacks ibm digital badge information badge found https www youracclaim com org ibm badge introduction cybersecurity tools cyber attacks want see good career fit ibm collaborating myinnergenius one world leading assessment companies help find careers love careers great match regardless education experience even never considered role less hour receive targeted recommendations hot roles excel everything need get started even earn ibm digital badges show world skills find http ibm myinnergenius com,cyber security regulation cyber security standards forensics security digital forensics cybercrime cryptography cyberattacks leadership management penetration test information technology cloud computing
4,81,Epigenetic Control of Gene Expression,The University of Melbourne,Beginner,4.8,https://www.coursera.org/learn/epigenetics,human genome sequence transformed understanding human biology sequence dna matters also use genes activated others silenced controlled answer epigenetics epigenetics hot topic research past decade become clear aberrant epigenetic control contributes disease particularly cancer epigenetic alterations heritable cell division instances able behave similarly mutations terms stability importantly unlike genetic mutations epigenetic modifications reversible therefore potential manipulated therapeutically also become clear recent years epigenetic modifications sensitive environment example diet sparked large amount public debate research course give introduction fundamentals epigenetic control examine epigenetic phenomena manifestations epigenetic control several organisms focus mammals examine interplay epigenetic control environment finally role aberrant epigenetic control disease necessary information covered lectures recommended required readings provided additional required texts course interested additional information obtained following textbook epigenetics allis jenuwein reinberg caparros cold spring harbour laboratory press isbn 13 978 0879697242 edition 1,cancer reproductive technology dna methylation assisted reproductive technology gene expression dna gene genetics stem cell cancer epigenetics life sciences basic science
5,95,Making Architecture,IE Business School,Intermediate,4.8,https://www.coursera.org/learn/making-architecture,making architecture offers unique insight mind work architect starting basics profession culminating production scaled site model course act ideal preparation interested undertaking undergraduate degree architecture although flexible intriguing enjoyable content makes accessible looking increase knowledge field delivered primarily professors ie school architecture design segovia spain course begins examining mind set architect asking think train creative minds moving using inspiration environment stimulate design ideas finally course concludes looking technical aspects architecture composition form space hierarchy stressing importance creating story helps define design fascinating content delivered principally stunning design studio ie school architecture features external videos beautiful locations city segovia finally includes interviews pritzker prize executive director dean school architecture design ie martha thorne number award winning practising architects sarah wigglesworth cristoph ingenhoven,design analysis modeling interior design architecture thought architectural design landscape design landscape architecture analysis creativity arts humanities music art
6,99,Beyond the Sustainable Development Goals (SDGs): Addressing Sustainability and Development,University of Michigan,Beginner,4.6,https://www.coursera.org/learn/beyond-the-sustainable-development-goals-addressing-sustainability-and-development,excited course beyond sustainable development goals sdgs addressing sustainability development first course upcoming sustainability development mastertrack certificate program fall 2020 also take course stand alone learning opportunity sustainability development pose unprecedented challenges human societies grow seek ensure future wellbeing prosperity course focus addressing twin challenges sustainability development actionable knowledge innovating solutions world pressing problems like climate change poverty inequality biodiversity loss ecosystem degradation rather sustainability qualifier development e g sustainable development conceptualize sustainability development co equal fields inquiry action seek build bridges natural social applied sciences humanities sustainability development placed equal footing requires us think explicitly trade offs co benefits synergies exploring depth week throughout course introduced theoretical currents sustainability development garner depth understanding united nations 17 sustainable development goals sdgs also consider methods skills necessary designing innovative solutions sustainability development problems emerging field sustainability science course explore three pressing challenges undergirding sustainable development goals sdgs including climate change poverty inequality ecosystem degradation biodiversity loss case studies guide challenge thinking final week course discuss trade offs co benefits synergies challenges especially relate designing innovative solutions achieving sustainability development goals end course able 1 understand explain world pressing problems specific focus poverty inequality ecosystem degradation biodiversity loss climate change 2 critically analyze sustainable development goals sdgs relationship world pressing problems 3 use frameworks evidence necessary develop solutions 4 assess relevant solutions would help realize sdgs time solve pressing problems 5 apply skills learned implement solutions,ecotourism economics ecosystems biodiversity political science circular economy history economics sustainability sustainability climate change biodiversity biodiversity loss social sciences governance society
7,104,Business Writing,University of Colorado Boulder,Beginner,4.7,https://www.coursera.org/learn/writing-for-business,writing well one important skills develop successful business world seventy companies thirty thousand students professional writers new employees non native english speakers seasoned executives used techniques business writing power ability communicate launch ideas course teach apply top ten principles good business writing work deploy simple tools dramatically improve writing execute organization structure revision communicate masterfully ever first lesson able apply new learning immediately work improve writing today ideas powerful learn deliver clarity impact deserve thank giving knowledge need life business writing helpful life changing made huge impact writing message business writing student principles learn course enable become great business writer also provide foundation moving graphic design successful presentation unleash best professional self whenever however present ideas workplace,business writing email writing writing english language confidence communication business communication email presentation grammar business business essentials
8,107,Introduction to Genomic Technologies,Johns Hopkins University,Conversant,4.5,https://www.coursera.org/learn/introduction-genomics,course introduces basic biology modern genomics experimental tools use measure introduce central dogma molecular biology cover next generation sequencing used measure dna rna epigenetic patterns also get introduction key concepts computing data science need understand data next generation sequencing experiments generated analyzed first course genomic data science specialization,statistical analysis genomics genetics molecular biology general statistics biology bioinformatics analysis biostatistics computational biology data science data analysis
9,125,Mathematics for Machine Learning: Linear Algebra,Imperial College London,Beginner,4.5,https://www.coursera.org/learn/linear-algebra-machine-learning,course linear algebra look linear algebra relates vectors matrices look vectors matrices work including knotty problem eigenvalues eigenvectors use solve problems finally look use fun things datasets like rotate images faces extract eigenvectors look pagerank algorithm works since aiming data driven applications implementing ideas code pencil paper towards end course write code blocks encounter jupyter notebooks python worry quite short focussed concepts guide coded end course intuitive understanding vectors matrices help bridge gap linear algebra problems apply concepts machine learning,algebra sigma algebra eigenvalues eigenvectors matrices linearity python programming linear algebra pagerank vector projection transformation matrix data science machine learning
