course_id,name
clinical-trials,Design and Interpretation of Clinical Trials
social-psychology,Social Psychology
html-css-javascript-for-web-developers,"HTML, CSS, and Javascript for Web Developers"
finance-for-non-finance,Finance for Non-Finance Professionals
build-a-computer,Build a Modern Computer from First Principles: From Nand to Tetris (Project-Centered Course)
site-reliability-engineering-slos,Site Reliability Engineering: Measuring and Managing Reliability
sustainable-finance,Principles of Sustainable Finance
advanced-valuation-and-strategy,"Advanced Valuation and Strategy - M&A, Private Equity, and Venture Capital"
cs-fundamentals-1,Object-Oriented Data Structures in C++
datasciencemathskills,Data Science Math Skills
private-equity,Private Equity and Venture Capital
global-diplomacy,Global Diplomacy – Diplomacy in the Modern World
content-marketing,The Strategy of Content Marketing
physiology,Introductory Human Physiology
system-administration-it-infrastructure-services,System Administration and IT Infrastructure Services
deep-neural-network,"Improving Deep Neural Networks: Hyperparameter tuning, Regularization and Optimization"
pap,Primeros Auxilios Psicológicos (PAP)
convolutional-neural-networks-tensorflow,Convolutional Neural Networks in TensorFlow
philosophy,Introduction to Philosophy
everyday-excel-part-1,"Everyday Excel, Part 1"
wine,Wine Tasting: Sensory Techniques for Wine Analysis
agile-atlassian-jira,Agile with Atlassian Jira
learning-how-to-learn,Learning How to Learn: Powerful mental tools to help you master tough subjects
analytics-business-metrics,Business Metrics for Data-Driven Companies
machine-learning-projects,Structuring Machine Learning Projects
cancer,Introduction to the Biology of Cancer
uva-darden-market-analytics,Marketing Analytics
html,Introduction to HTML5
childnutrition,Child Nutrition and Cooking
wharton-accounting,Introduction to Financial Accounting
financial-engineering-1,Financial Engineering and Risk Management Part I
remote-team-management,How to Manage a Remote Team
negotiation,Introduction to Negotiation: A Strategic Playbook for Becoming a Principled and Persuasive Negotiator
forensic-accounting,Forensic Accounting and Fraud Examination
gcp-fundamentals,Google Cloud Platform Fundamentals: Core Infrastructure
python-data-analysis,Introduction to Data Science in Python
neuromarketing,An Introduction to Consumer Neuroscience & Neuromarketing
introduction-to-calculus,Introduction to Calculus
womens-health-human-rights,International Women's Health and Human Rights
user-experience-design,Introduction to User Experience Design
crypto,Cryptography I
ibm-customer-engagement-specialist,IBM Customer Engagement Specialist Professional Certificate
etudier-en-france,Étudier en France: French Intermediate course B1-B2
excel-intermediate-1,Excel Skills for Business: Intermediate I
neurobiology,Understanding the Brain: The Neurobiology of Everyday Life
visual-elements-user-interface-design,Visual Elements of User Interface Design
sql-data-science,Databases and SQL for Data Science
entreprise-changement-climatique,Entreprise et changement climatique
introduction-psychology,Introduction to Psychology
mafash,Management of Fashion and Luxury Companies
computer-networking,The Bits and Bytes of Computer Networking
professional-emails-english,Write Professional Emails in English
research-methods,Understanding Research Methods
science-exercise,Science of Exercise
wharton-marketing,Introduction to Marketing
systematic-review,Introduction to Systematic Review and Meta-Analysis
python,Programming for Everybody (Getting Started with Python)
medical-neuroscience,Medical Neuroscience
marketing-digital,Marketing in a Digital World
probabilistic-models-in-nlp,Natural Language Processing with Probabilistic Models
wharton-quantitative-modeling,Fundamentals of Quantitative Modeling
fundamentals-of-graphic-design,Fundamentals of Graphic Design
gamification,Gamification
sciwrite,Writing in the Sciences
introduction-tensorflow,"Introduction to TensorFlow for Artificial Intelligence, Machine Learning, and Deep Learning"
psychological-first-aid,Psychological First Aid
wind-energy,Wind Energy
convolutional-neural-networks,Convolutional Neural Networks
classification-vector-spaces-in-nlp,Natural Language Processing with Classification and Vector Spaces
positive-psychiatry,Positive Psychiatry and Mental Health
sustainability,Introduction to Sustainability
gcp-big-data-ml-fundamentals,Google Cloud Platform Big Data and Machine Learning Fundamentals
positive-psychology-visionary-science,Positive Psychology: Martin E. P. Seligman’s Visionary Science
data-science-methodology,Data Science Methodology
google-cbrs-cpi-training,Become a CBRS Certified Professional Installer by Google
wharton-contagious-viral-marketing,Viral Marketing and How to Craft Contagious Content
open-source-tools-for-data-science,Tools for Data Science
social-media-marketing-introduction,Introduction to Social Media Marketing
autism-spectrum-disorder,Autism Spectrum Disorder
introduction-psych,Introduction to Psychology
animal-welfare,Animal Behaviour and Welfare
food-and-health,Stanford Introduction to Food and Health
natural-language-processing-tensorflow,Natural Language Processing in TensorFlow
neural-networks-deep-learning,Neural Networks and Deep Learning
excel-essentials,Excel Skills for Business: Essentials
wharton-customer-analytics,Customer Analytics
uva-darden-digital-product-management,Digital Product Management: Modern Fundamentals
project-planning,Initiating and Planning Projects
introduction-cybersecurity-cyber-attacks,Introduction to Cybersecurity Tools & Cyber Attacks
python-for-applied-data-science-ai,Python for Data Science and AI
moral-politics,Moral Foundations of Politics
company-future-management,Managing the Company of the Future
python-data,Python Data Structures
american-law,An Introduction to American Law
it-security,IT Security: Defense against the digital dark arts
python-crash-course,Crash Course on Python
brand,"Brand Management: Aligning Business, Brand and Behaviour"
python-network-data,Using Python to Access Web Data
financial-markets-global,Financial Markets
negotiation-skills,Successful Negotiation: Essential Strategies and Skills
camino-excelencia-gestion-proyectos,Camino a la Excelencia en Gestión de Proyectos
os-power-user,Operating Systems and You: Becoming a Power User
communication-strategies-virtual-age,Communication Strategies for a Virtual Age
project-management,Project Launch
python-basics,Python Basics
duke-programming-web,"Programming Foundations with JavaScript, HTML and CSS"
uva-darden-project-management,Fundamentals of Project Planning and Management
computational-thinking-problem-solving,Computational Thinking for Problem Solving
python-operating-system,Using Python to Interact with the Operating System
ai-for-everyone,AI For Everyone
careerdevelopment,English for Career Development
contabilidad,Contabilidad para no contadores
teach-online,Learning to Teach Online
sql-for-data-science,SQL for Data Science
data-scientists-tools,The Data Scientist’s Toolbox
diversity-inclusion-workplace,Diversity and inclusion in the workplace
learn-korean,First Step Korean
vital-signs,Vital Signs: Understanding What the Body Is Telling Us
what-is-datascience,What is Data Science?
linear-algebra-machine-learning,Mathematics for Machine Learning: Linear Algebra
clinical-terminology,Clinical Terminology for International and U.S. Students
introduction-to-cloud,Introduction to Cloud Computing
pca-machine-learning,Mathematics for Machine Learning: PCA
journalism,English for Journalism
droits-de-lhomme,Introduction aux Droits de l’Homme
electricity,Electric Industry Operations and Markets
self-determination-theory,"Introduction to Self-Determination Theory: An approach to motivation, development and wellness"
ibm-penetration-testing-incident-response-forensics,"Penetration Testing, Incident Response and Forensics"
competencias-lab,"Competencias Laborales: Perfiles, Evaluación y Capacitación."
cloud-azure-intro,Getting Started with Azure
craft-of-plot,Creative Writing: The Craft of Plot
global-environmental-management,Global Environmental Management
write-a-feature-length-screenplay-for-film-or-television,Write A Feature Length Screenplay For Film Or Television
algorithmic-toolbox,Algorithmic Toolbox
legaltech,El Abogado del Futuro: Legaltech y la Transformación Digital del Derecho
excel-advanced,Excel Skills for Business: Advanced
nanotechnology,Nanotechnology: A Maker’s Course
challenging-forensic-science,Challenging Forensic Science: How Science Should Speak to Court
norms,"Social Norms, Social Change I"
probability-statistics,Probability and Statistics: To p or not to p?
applied-data-science-capstone,Applied Data Science Capstone
motivate-people-teams,Inspiring and Motivating Individuals
einstein-relativity,Understanding Einstein: The Special Theory of Relativity
customer-segmentation-prospecting,Customer Segmentation and Prospecting
blockchain-basics,Blockchain Basics
systems-engineering,Introduction to Systems Engineering
community-organizing,Community Organizing for Social Justice
introcss,Introduction to CSS3
tensorflow-sequences-time-series-and-prediction,"Sequences, Time Series and Prediction"
producing-music,The Art of Music Production
negociacion,Negociación exitosa: Estrategias y habilidades esenciales (en español)
reporting-extra-financier-strategie-rse,Reporting extra-financier et stratégie RSE
mythology,Greek and Roman Mythology
english-composition,English Composition I
gender-sexuality,Gender and Sexuality: Diversity and Inclusion in the Workplace
django-database-web-apps,Web Application Technologies and Django
memoir-reader-relationship,Memoir and Personal Essay: Managing Your Relationship with the Reader
ml-foundations,Machine Learning Foundations: A Case Study Approach
initiating-planning,Engineering Project Management: Initiating and Planning
matlab,Introduction to Programming with MATLAB
aprendiendo-programar-python,Introducción a la programación en Python I: Aprendiendo a programar con Python
english-principles,Teach English Now! Foundational Principles
programming-languages,"Programming Languages, Part A"
wharton-cryptocurrency-blockchain-introduction-digital-currency,Cryptocurrency and Blockchain: An Introduction to Digital Currencies
bayesian-statistics,Bayesian Statistics: From Concept to Data Analysis
plato,Ancient Philosophy: Plato & His Predecessors
forensic-science,Introduction to Forensic Science
reussir-le-changement,Réussir le Changement
terrorism,Terrorism and Counterterrorism: Comparing Theory and Practice
mcmc-bayesian-statistics,Bayesian Statistics: Techniques and Models
creative-problem-solving,Creative Problem Solving
epidemiology-tools,Essential Epidemiologic Tools for Public Health Practice
supply-chain-logistics,Supply Chain Logistics
medical-research,Understanding Medical Research: Your Facebook Friend is Wrong
wharton-success,Success
object-oriented-design,Object-Oriented Design
search-engine-optimization,Introduction to Search Engine Optimization
intro-common-law,Introduction to English Common Law
bugs-101,Bugs 101: Insect-Human Interactions
introduction-embedded-systems,Introduction to Embedded Systems Software and Development Environments
introduction-to-computers-and-office-productivity-software,Introduction to Computers and Office Productivity Software
japanese-1,Japanese for beginners 1
autodesk-revit-architectural-design,Autodesk Certified Professional: Revit for Architectural Design Exam Prep
python-programming-introduction,Python Programming: A Concise Introduction
enfant-developpement,Développement psychologique de l'enfant
wharton-fintech-overview-payments-regulations,"FinTech: Foundations, Payments, and Regulations"
gte-sustainable-cities,Greening the Economy: Sustainable Cities
magic-middle-ages,Magic in the Middle Ages
modern-art-ideas,Modern Art & Ideas
finanzas-empresariales,Fundamentos de Finanzas Empresariales
grammar-punctuation,Grammar and Punctuation
fintechlawandpolicy,FinTech Law and Policy
introduction-to-data-analytics,Introduction to Data Analytics
international-organizations-management,International Organizations Management
clinicalsimulations,Essentials in Clinical Simulations Across the Health Professions
health-behavior-change,Health Behavior Change: From Evidence to Action
golang-webservices-1,Разработка веб-сервисов на Go - основы языка
statistical-inferences,Improving your statistical inferences
uva-darden-bcg-pricing-strategy-cost-economics,Cost and Economics in Pricing Strategy
food-beverage-management,Food & Beverage Management
gcp-infrastructure-foundation,Essential Google Cloud Infrastructure: Foundation
leadership-21st-century,Leadership in 21st Century Organizations
spanish-vocabulary-meeting-people,Spanish Vocabulary: Meeting People
entrepreneurship-strategy,Entrepreneurship Strategy: From Ideation to Exit
sample-based-learning-methods,Sample-based Learning Methods
innovation-through-design,"Innovation Through Design: Think, Make, Break, Repeat"
social-economic-networks,Social and Economic Networks:  Models and Analysis
erasmus-econometrics,Econometrics: Methods and Applications
foundations-big-data-analysis-sql,Foundations for Big Data Analysis with SQL
introclassicalmusic,Introduction to Classical Music
international-relations-theory,Understanding International Relations Theory
stochasticprocesses,Stochastic processes
quantum-computing-algorithms,The Introduction to Quantum Computing
principles-of-microeconomics,The Power of Microeconomics: Economic Principles in the Real World
intro-chemistry,Introduction to Chemistry:  Reactions and Ratios
industrial-biotech,Industrial Biotechnology
quantitative-methods,Quantitative Methods
music-theory,Getting Started With Music Theory
data-science-k-means-clustering-python,Foundations of Data Science: K-Means Clustering in Python
perfect-tenses-modals,Perfect Tenses and Modals
spanish-in-healthcare-settings,Spanish for Successful Communication in Healthcare Settings
social-work-practice-advocating-social-justice-and-change,Social Work Practice: Advocating Social Justice and Change
building-modern-python-applications-on-aws,Building Modern Python Applications on AWS
dog-emotion-and-cognition,Dog Emotion and Cognition
python-databases,Using Databases with Python
java-programming,Java Programming: Solving Problems with Software
chemicals-health,Chemicals and Health
introduction-to-software-product-management,Introduction to Software Product Management
excellence-operationnelle,L'excellence opérationnelle en pratique
ai-for-medical-prognosis,AI for Medical Prognosis
astro,Astronomy: Exploring Time and Space
excel-para-negocios,Fundamentos de Excel para Negocios
golang-getting-started,Getting Started with Go
trunk-anatomy,"Anatomy of the Chest, Abdomen, and Pelvis"
global-financial-markets-instruments,Global Financial Markets and Instruments
contrats,Rédaction de contrats
corp-sustainability,Corporate Sustainability. Understanding and Seizing the Strategic Opportunity
mental-health,The Social Context of Mental Health and Illness
microbiome,Gut Check: Exploring Your Microbiome
summary-statistics,Summary Statistics in Public Health
transmedia-storytelling,"Transmedia Storytelling: Narrative worlds, emerging technologies, and global audiences"
intro-programming,Code Yourself! An Introduction to Programming
everyday-excel-part-2,"Everyday Excel, Part 2"
enlinea,Cursos en línea: modelo para armar
analytics-excel,Mastering Data Analysis in Excel
basic-statistics,Basic Statistics
photography,Seeing Through Photographs
uva-darden-design-thinking-social-sector,Design Thinking for the Greater Good: Innovation in the Social Sector
international-law-in-action,International Law in Action: A Guide to the International Courts and Tribunals in The Hague
clinical-data-management,Data Management for Clinical Research
excel-data-analysis,Introduction to Data Analysis Using Excel
typography,Introduction to Typography
neuroscience-neuroimaging,Fundamental Neuroscience for Neuroimaging
intro-business-analytics,Introduction to Business Analytics: Communicating with Data
anticorrupcion-introduccion,Anticorrupción: Introducción a conceptos y perspectiva práctica
aprendiendo-a-aprender,Aprendiendo a aprender: Poderosas herramientas mentales con las que podrás dominar temas difíciles (Learning How to Learn)
financial-planning,Financial Planning for Young Adults
c-plus-plus-white,Основы разработки на C++: белый пояс
understanding-financial-markets,Understanding Financial Markets
managing-as-a-coach,Managing as a Coach
mathematical-thinking,Introduction to Mathematical Thinking
music-business-foundations,Music Business Foundations
epidemiology,Epidemiology: The Basic Science of Public Health
elearning,e-Learning Ecologies: Innovative Approaches to Teaching and Learning for the Digital Age
cs-fundamentals-2,Ordered Data Structures
machine-learning,Machine Learning
batch-data-pipelines-gcp,Building Batch Data Pipelines on GCP
privacy-law-data-protection,Privacy Law and Data Protection
machine-learning-business-professionals,Machine Learning for Business Professionals
writing-for-business,Business Writing
software-processes-and-agile-practices,Software Processes and Agile Practices
nand2tetris2,Build a Modern Computer from First Principles: Nand to Tetris Part II (project-centered course)
finanzas-personales,Finanzas personales
big-history,Big History: Connecting Knowledge
contact-tracing-for-covid-19,Population Health During A Pandemic: Contact Tracing and Beyond
programming-fundamentals,Programming Fundamentals
six-sigma-organization-advanced,Six Sigma and the Organization (Advanced)
wharton-financial-accounting,More Introduction to Financial Accounting
uva-darden-managerial-accounting,Managerial Accounting Fundamentals
enterprise-architecture,Enterprise Architecture
gestionar-personas,Claves para Gestionar Personas
introancientegypt,Introduction to Ancient Egypt and Its Civilization
business-english-intro,Business English: Networking
family-planning,Personal & Family Financial Planning
python-osnovy-programmirovaniya,Основы программирования на Python
antibiotic-stewardship,Antibiotic Stewardship
mastering-final-cut-pro,Mastering Final Cut Pro
getting-started-with-google-sheets,Getting Started with Google Sheets
technology-of-music-production,The Technology of Music Production
multivariate-calculus-machine-learning,Mathematics for Machine Learning: Multivariate Calculus
bootstrap-4,Front-End Web UI Frameworks and Tools: Bootstrap 4
excel-intermediate-2,Excel Skills for Business: Intermediate II
refugees-21st-century,Refugees in the 21st Century
fashion-design,Fashion as Design
love-social-justice,Love as a Force for Social Justice
human-needs,The Arts and Science of Relationships: Understanding Human Needs
autodesk-autocad-design-drafting,Autodesk Certified Professional: AutoCAD for Design and Drafting Exam Prep
introduction-intellectual-property,Introduction to Intellectual Property
finance-for-non-financial-managers,Finance for Non-Financial Managers
entrepreneur-changement,Devenir entrepreneur du changement
leading-for-equity-diversity-inclusion,"Leading for Equity, Diversity and Inclusion in Higher Education"
devops-culture-and-mindset,DevOps Culture and Mindset
gcp-exploring-preparing-data-bigquery,Exploring ​and ​Preparing ​your ​Data with BigQuery
stem-cells,The Science of Stem Cells
ux-design-fundamentals,UX Design Fundamentals
ds,Fundamentals of Scalable Data Science
corporatestrategy,Corporate Strategy
becoming-a-veterinarian,EDIVET: Do you have what it takes to be a veterinarian?
introduction-trading-machine-learning-gcp,"Introduction to Trading, Machine Learning & GCP"
neuroeconomics,Introduction to Neuroeconomics: How the Brain Makes Decisions
uva-darden-financial-accounting,Financial Accounting Fundamentals
human-language,Miracles of Human Language: An Introduction to Linguistics
roman-architecture,Roman Architecture
teamwork-skills-effective-communication,Teamwork Skills: Communicating Effectively in Groups
engineering-mechanics-statics,Introduction to Engineering Mechanics
intro-economic-theories,Introduction to Economic Theories
verb-passives,Verb Tenses and Passives
uva-darden-getting-started-agile,Agile Meets Design Thinking
uva-darden-continous-delivery-devops,Continuous Delivery & DevOps
business-model,Business Model Innovation
infrastructure-investing,Financing and Investing in Infrastructure
machine-learning-duke,Introduction to Machine Learning
exploring-renewable-energy,Exploring Renewable Energy Schemes
information-systems-audit,"Information Systems Auditing, Controls and Assurance"
nlp-sequence-models,Sequence Models
international-humanitarian-law,International Humanitarian Law in Theory and Practice
social-innovation,Becoming a changemaker: Introduction to Social Innovation
ux-ui-design-de-interface,UX / UI: Fundamentos para o design de interface
google-cloud-java-spring,Building Scalable Java Microservices with Spring Boot and Spring Cloud
python-functions-files-dictionaries,"Python Functions, Files, and Dictionaries"
arbitration-international-disputes,International Law in Action: the Arbitration of International Disputes
law-student,A Law Student's Toolkit
smart-cities,Smart Cities – Management of Smart Urban Infrastructures
wharton-launching-startup,Entrepreneurship 2: Launching your Start-Up
probability-intro,Introduction to Probability and Data with R
intro-self-driving-cars,Introduction to Self-Driving Cars
accounting-analytics,Accounting Analytics
data-analysis-with-python,Data Analysis with Python
drug-development,Drug Development
childrens-rights,Children's Human Rights - An Interdisciplinary Introduction
attention-models-in-nlp,Natural Language Processing with Attention Models
python-machine-learning,Applied Machine Learning in Python
fundamental-machine-learning-healthcare,Fundamentals of Machine Learning for Healthcare
write-your-first-novel,Write Your First Novel
object-oriented-java,Object Oriented Programming in Java
sustainable-fashion,Sustainable Fashion
money-banking,Economics of Money and Banking
managing-human-resources,Preparing to Manage Human Resources
change-management,Leading transformations: Manage change
digital-business-models,Digital Business Models
big-data-essentials,"Big Data Essentials: HDFS, MapReduce and Spark RDD"
develop-your-musicianship,Developing Your Musicianship
modern-world-2,"The Modern World, Part Two: Global History since 1910"
humanrights,Human Rights for Open Societies
data-visualization-tableau,Fundamentals of Visualization with Tableau
finance-fundamentals,Fundamentals of Finance
actualizacion-manejo-diabetes-tipo-2,Actualización en el manejo del paciente con diabetes mellitus tipo 2
arts-heritage,Arts and Heritage Management
cultural-competence-aboriginal-sydney,Cultural Competence - Aboriginal Sydney
gcp-infrastructure-core-services,Essential Google Cloud Infrastructure: Core Services
business,English for Business and Entrepreneurship
corporate-finance-essentials,Corporate Finance Essentials
oilandgas,Oil & Gas Industry Operations and Markets
google-machine-learning,How Google does Machine Learning
people-management,The Manager's Toolkit: A Practical Guide to Managing People at Work
wharton-introduction-spreadsheets-models,Introduction to Spreadsheets and Models
schedule-projects,Budgeting and Scheduling Projects
intro-accounting-data-analytics-visual,Introduction to Accounting Data Analytics and Visualization
introduction-programming-unity,Introduction to C# Programming and Unity
schizophrenia,Schizophrenia
anatomy403-1x,Anatomy: Musculoskeletal and Integumentary Systems
google-kubernetes-engine,Getting Started with Google Kubernetes Engine
getting-started-with-tensor-flow2,Getting started with TensorFlow 2
global-sustainable-development,"The Sustainable Development Goals – A global, transdisciplinary vision for the future"
innovation-management,Innovation Management
introtoux-principles-and-processes,Introduction to User Experience Principles and Processes
aws-machine-learning,Getting Started with AWS Machine Learning
epigenetics,Epigenetic Control of Gene Expression
mathematics-and-python,Математика и Python для анализа данных
weight-management-beyond-balancing-calories,Weight Management: Beyond Balancing Calories
intercultural,Intercultural Management
quality-healthcare,Leading Healthcare Quality and Safety
investment-management,Investment Management in an Evolving and Volatile World by HEC Paris and AXA Investment Managers
seo-fundamentals,Search Engine Optimization Fundamentals
troubleshooting-debugging-techniques,Troubleshooting and Debugging Techniques
iiot-google-cloud-platform,Industrial IoT on Google Cloud Platform
role-of-advertising,Advertising and Society
learn-to-program,Learn to Program: The Fundamentals
correccion-estilo-variaciones,"Corrección, estilo y  variaciones de la lengua española"
machine-learning-with-python,Machine Learning with Python
bcg-uva-darden-digital-transformation,Digital Transformation
wharton-people-analytics,People Analytics
writing-editing-words,Writing and Editing: Word Choice and Word Order
discrete-optimization,Discrete Optimization
learn-chinese,Chinese for Beginners
microeconomics,Microeconomics Principles
getinmooc,Get Interactive: Practical Teaching with Technology
countering-terror-violent-extremism,New Approaches to Countering Terror: Countering Violent Extremism
contracts-1,American Contract Law I
gcp-infrastructure-scaling-automation,Elastic Google Cloud Infrastructure: Scaling and Automation
plantknows,Understanding Plants - Part I: What a Plant Knows
songwriting-lyrics,Songwriting: Writing the Lyrics
sports-society,Sports and Society
accounting-data-analytics-python,Accounting Data Analytics with Python
sdgbusiness,Driving business towards the Sustainable Development Goals
modern-world,"The Modern World, Part One: Global History from 1760 to 1910"
finance-healthcare-managers,Financial Acumen for Non-Financial Managers
python-statistics-financial-analysis,Python and Statistics for Financial Analysis
python-data-visualization,"Capstone: Retrieving, Processing, and Visualizing Data with Python"
containerized-apps-on-aws,Building Containerized Applications on AWS
foundations-of-mindfulness,Foundations of Mindfulness
public-policy,Public Policy Challenges of the 21st Century
